"","V1","V2","V3"
"1",-0.5,1.25,-3
"2",1.60185185185185,-0.637774348422496,1.2037037037037
"3",1.46561788651195,-0.783199983760148,0.931235773023892
"4",1.34510556175798,-0.880902151243711,0.690211123515954
"5",1.24373554400358,-0.94059298458928,0.487471088007156
"6",1.16357555912346,-0.973243036457447,0.327151118246924
"7",1.10446931664916,-0.989086161878857,0.208938633298322
"8",1.06388801980688,-0.995918320925155,0.127776039613763
"9",1.03776591774153,-0.99857373545714,0.0755318354830568
"10",1.02179537849138,-0.999524961476418,0.0435907569827561
"11",1.01238402916867,-0.999846635821549,0.0247680583373495
"12",1.00696978545254,-0.999951422090746,0.01393957090507
"13",1.00390069053564,-0.999984784613345,0.00780138107128492
"14",1.00217603177388,-0.999995264885719,0.00435206354776074
"15",1.00121170644055,-0.999998531767502,0.00242341288110071
"16",1.00067403925533,-0.999999545671082,0.00134807851065055
"17",1.00037473530355,-0.999999859573452,0.000749470607090963
"18",1.00020826946431,-0.99999995662383,0.000416538928611931
"19",1.00011573095699,-0.999999986606346,0.000231461913984266
"20",1.00006430291217,-0.999999995865136,0.000128605824337491
"21",1.00003572629023,-0.999999998723632,7.14525804523802e-05
"22",1.00001984869535,-0.999999999606029,3.9697390707083e-05
"23",1.00001102728643,-0.999999999878399,2.20545728675248e-05
"24",1.0000061263423,-0.999999999962468,1.22526846002557e-05
"25",1.00000340354574,-0.999999999988416,6.80709148248582e-06
"26",1.00000189086561,-0.999999999996425,3.78173121973191e-06
"27",1.00000105048301,-0.999999999998896,2.10096602604182e-06
"28",1.00000058360233,-0.999999999999659,1.16720465559439e-06
"29",1.00000032422372,-0.999999999999895,6.48447434414834e-07
"30",1.00000018012435,-0.999999999999968,3.60248699315946e-07
"31",1.0000001000691,-0.99999999999999,2.00138204675682e-07
"32",1.00000005559395,-0.999999999999997,1.11187903328869e-07
"33",1.00000003088553,-0.999999999999999,6.17710611550137e-08
"34",1.00000001715863,-1,3.43172574801542e-08
"35",1.00000000953257,-1,1.90651432419031e-08
"36",1.00000000529587,-1,1.05917461468152e-08
"37",1.00000000294215,-1,5.88430326686762e-09
